,category,is_closed,latitude,longitude,name,rating,review_count
1069,mexican,False,34.0715151,-118.3622707,Mercado Los Angeles,4.0,1105
1070,korean,False,34.0497189,-118.30918490000002,HaSunSaeng - MasterHA,4.5,302
1071,vegan,False,34.083420000000004,-118.37011,Crossroads,4.0,1942
1072,sushi,False,34.0470000646326,-118.238502456345,Sushi Gen,4.5,3703
1073,breakfast_brunch,False,34.072893,-118.37179,Joan's on Third,4.0,2249
1074,cocktailbars,False,34.044804,-118.25665,Broken Shaker Los Angeles,4.0,410
1075,tacos,False,34.0416441,-118.2522657,Sonoratown,4.5,720
1076,mediterranean,False,34.089290000000005,-118.27693,Mh Zh,4.5,382
1077,vegan,False,34.10768,-118.26677,Little Pine,4.5,828
1078,coffee,False,34.084366,-118.28663600000002,Sqirl,4.0,1947
1079,pizza,False,34.083252237985704,-118.33880120176501,Pizzeria Mozza,4.0,4163
